company_name,phone,email,address_or_location
MANGALURU,+91 949 606 22 22,,MANGALURU Bejai +91 949 606 22 22
MADURAI,+91 854 742 44 44,,MADURAI Kamalam Plaza +91 854 742 44 44
Kottayam,1,,"Kottayam Kottayam
1st floor, Home Basics Spice, Puthuppally Rd, Kanjikuzhi, Kottayam, Kerala, India"
Kharadi (Pune),() 2,,"Kharadi (Pune) 2nd floor, Vedriti Commercial Building, Mathura Nagar, Wadgaon Sheri, Pune, Maharasht"
KERALA,+91 956 723 1111  +91 755 984 11 11  +91 755 899 22 22  +9,,KERALA Vyttila +91 956 723 1111 Edappally +91 755 984 11 11 Kottayam +91 755 899 22 22 Trivandrum +9
Hyderabad (Kompally),()     5,,"Hyderabad (Kompally) Atharv Pride, Plot No 5, near Trends Showroom, Devender Colony, Kompally, Hyder"
Hyderabad (Banjara hills),( )      12,,"Hyderabad (Banjara hills) Second floor, Emperado, Road No. 12, opp., Mahesh Bank, Bhola Nagar, Banja"
Hinjewadi (Pune),() 2          -,,"Hinjewadi (Pune) 2nd Floor, Rise Alta Prime Plaza, Bhumkar Chowk Rd, Tathawade, Pimpri-Chinchwad, Ma"
Head Office,2,,"Head Office Karimpanal Chambers, 2nd, NH Bypass, opposite to Wyte Fort Hotel, Maradu, Kochi, Kerala"
HYDERABAD,+91 949 508 77 77  +91 807 831 22 22,,HYDERABAD Banjara Hills +91 949 508 77 77 Kompally +91 807 831 22 22
FAQ’s,FAQ’s,,FAQ’s
Edappally,31361 1         377,,"Edappally 31/361 A1, First Floor, Bharatans Arcade, Near Metro Pillar Number 377, Cochin Edappally T"
"ECR, Chennai",-2        ()     60011,,"ECR, Chennai C-2, First floor, Times Square, East Coast Rd (ECR), Uthandi, Chennai, Tamil Nadu 60011"
Coimbatore,84   2-,,"Coimbatore Door No : 84, Meenas Pinnacle 2-B Second Floor, W Sambandam Rd, R S Puram West, Coimbator"
Chennai+91 755 900 33 33,+91 755 900 33 33  +91 94974 76666  +91 807 857 8888  +,,TAMIL NADU Chennai +91 755 900 33 33 Coimbatore +91 94974 76666 Nagercoil +91 807 857 8888 Madurai +
Careers,Careers,,Careers
Calicut,2            673014,,"Calicut 2nd floor, Orris Tower, Thondayad Bypass, opposite to Hilite Mall, Kozhikode, Kerala 673014"
COIMBATORE,+91 949 747 66 66,,COIMBATORE R.S. Puram +91 949 747 66 66
CHENNAI,+91 755 900 33 33  +91 807 890 88 88,,CHENNAI Anna Nagar +91 755 900 33 33 ECR +91 807 890 88 88
Bengaluru+91 999 551 77 77,+91 999 551 77 77  +91 949 606 22 22  +91 938 342 33 33,,KARNATAKA Bengaluru +91 999 551 77 77 Mangaluru +91 949 606 22 22 Mysore +91 938 342 33 33
Bengaluru HSR,760 19      2    560102,,"Bengaluru HSR 760, 19th Main Rd, Garden Layout, Sector 2 HSR Layout, Bengaluru 560102 Karnataka – In"
Banjara Hills+91 949 508 7777,+91 949 508 7777,,HYDERABAD Banjara Hills +91 949 508 7777
BENGALURU,+91 999 551 77 77  +91 956 723 33 33  +91 949 760 22 22,,BENGALURU HSR Layout +91 999 551 77 77 Yelahanka +91 956 723 33 33 Whitefield +91 949 760 22 22
"Anna Nagar, Chennai",33     2       600102,,"Anna Nagar, Chennai No. 33, Dev’s Ark, F Block, 2nd Ave, Anna Nagar, Chennai, Tamil Nadu 600102 – In"
Ahmedabad,+91 8111925555,,Ahmedabad Ahmedabad +91 8111925555
